Position,Coverage
1,0.00
2,0.00
3,0.00
4,0.00
5,0.00
6,0.00
7,0.00
8,0.00
9,0.00
10,0.00
11,0.00
12,0.00
13,0.00
14,0.00
15,0.00
16,0.00
17,0.00
18,0.00
19,0.00
20,1.00
21,1.00
22,1.00
23,1.00
24,3.00
25,3.00
26,7.00
27,18.00
28,2923.00
29,2962.00
30,3019.00
31,3264.00
32,3733.00
33,4090.00
34,4131.00
35,4141.00
36,4142.00
37,4177.00
38,4181.00
39,4195.00
40,4211.00
41,4214.00
42,4217.00
43,4229.00
44,4244.00
45,4247.00
46,4254.00
47,4258.00
48,4263.00
49,4285.00
50,4286.00
51,4289.00
52,4297.00
53,4299.00
54,4299.00
55,4300.00
56,4302.00
57,4302.00
58,4303.00
59,4304.00
60,4304.00
61,4304.00
62,4305.00
63,4310.00
64,4311.00
65,4311.00
66,4312.00
67,4312.00
68,4314.00
69,4315.00
70,4315.00
71,4315.00
72,4315.00
73,4316.00
74,4316.00
75,4317.00
76,4317.00
77,4317.00
78,4317.00
79,4318.00
80,4320.00
81,4320.00
82,4320.00
83,4323.00
84,4323.00
85,4323.00
86,4327.00
87,4327.00
88,4327.00
89,4327.00
90,4327.00
91,4327.00
92,4326.00
93,4326.00
94,4326.00
95,4338.00
96,4338.00
97,4340.00
98,4341.00
99,4341.00
100,4341.00
101,4341.00
102,4341.00
103,4342.00
104,4342.00
105,4342.00
106,4342.00
107,4342.00
108,4341.00
109,4341.00
110,4341.00
111,4343.00
112,4343.00
113,4343.00
114,4342.00
115,4342.00
116,4342.00
117,4342.00
118,4342.00
119,4342.00
120,4343.00
121,4343.00
122,4343.00
123,4343.00
124,4344.00
125,4344.00
126,4346.00
127,4346.00
128,4346.00
129,4346.00
130,4347.00
131,4351.00
132,4351.00
133,4351.00
134,4353.00
135,4353.00
136,4353.00
137,4353.00
138,4353.00
139,4353.00
140,4354.00
141,4354.00
142,4354.00
143,4359.00
144,4359.00
145,4359.00
146,4359.00
147,4359.00
148,4359.00
149,4359.00
150,4359.00
151,4359.00
152,4358.00
153,4358.00
154,4359.00
155,4358.00
156,4358.00
